state,age,dx,bsn,exc,exposure,exc_r,bsn_r,mx
Alabama,0,1810,1945.650262100558,-135.6502621005579,2626099.522245038,-5.165465396550975,74.08897665984998,68.923511263299
Alabama,15,2195,1961.7716521542134,233.22834784578666,1731472.885010267,13.469939371554393,113.30074349634306,126.77068286789743
Alabama,25,4436,3510.4326841835027,925.5673158164974,1630414.6392881589,56.768830057892586,215.30919801579813,272.0780280736907
Alabama,35,7066,5420.817405541689,1645.1825944583106,1704807.2580424368,96.50255691352518,317.97244996283047,414.4750068763556
Alabama,45,12632,10747.929231396505,1884.0707686034953,1732759.8836413415,108.73236311566602,620.2780508058661,729.0104139215321
Alabama,55,27909,24317.101722182735,3591.8982778172644,1860763.605065024,193.03356256754313,1306.8345520081784,1499.8681145757214
Alabama,65,42266,34969.31020013566,7296.68979986434,1485474.697467488,491.20256388776625,2354.083193726093,2845.2857576138595
Alabama,75,47127,40368.96828123192,6758.031718768075,734741.2245037645,919.7839311837129,5494.311049240043,6414.094980423756
Alabama,85,42353,39682.801617073215,2670.1983829267874,307195.887063655,869.2168402545987,12917.751600251868,13786.968440506465
Alaska,0,250,287.5454155907539,-37.54541559075394,560828.7282683094,-6.694631301553372,51.27152035856259,44.576889057009225
Alaska,15,385,333.70655254177797,51.29344745822201,295375.97056810407,17.365477414959663,112.97687889097807,130.34235630593776
Alaska,25,782,624.1370391919709,157.86296080802913,360888.9158110883,43.742812231635405,172.94436372179496,216.68717595343034
Alaska,35,963,631.8305620171416,331.1694379828585,308599.9158110883,107.31352181754525,204.7410027175514,312.0545245350966
Alaska,45,1309,1097.2886929399674,211.71130706003254,225983.71252566736,93.68432118132684,485.56096396342576,579.2452851447526
Alaska,55,2675,2220.5430254148855,454.45697458511444,238312.2108145106,190.69814888287,931.7789540978397,1122.4771029807098
Alaska,65,3672,2779.285120592906,892.7148794070941,184880.33333333334,482.86092052720267,1503.2886789434458,1986.1495994706486
Alaska,75,3474,2634.0698772678093,839.9301227321907,79127.77686516085,1061.4858094187193,3328.8814391391847,4390.367248557904
Alaska,85,2815,2351.3329134427872,463.66708655721294,29974.051334702257,1546.8949505014207,7844.561574899778,9391.456525401198
Arizona,0,1958.0421559340539,2096.7064389512093,-138.66428301715538,5351965.553730322,-2.5909038768103865,39.176381422892455,36.58547754608207
Arizona,15,3114.0676300445148,2493.7944646337896,620.2731654107254,3212049.569472964,19.31082170417751,77.63872912593231,96.94955083010981
Arizona,25,6335.145651084815,4406.7583724208225,1928.3872786639922,3113217.4620123203,61.94193955913128,141.5499696437005,203.4919092028318
Arizona,35,8627.186862781613,5533.712563561103,3093.4742992205097,2827067.281314168,109.42344102198027,195.74039146987494,305.1638324918552
Arizona,45,13695.29039114016,10547.842080663508,3147.448310476653,2824678.0376454485,111.42679868393972,373.41749891806484,484.8442976020046
Arizona,55,28901.63560478934,22595.22737399465,6306.4082307946865,3285591.311430527,191.9413473262721,687.7065718851327,879.6479192114049
Arizona,65,47489.0725661275,35661.362923447174,11827.709642680325,2857205.063655031,413.96082462313467,1248.1205278919667,1662.0813525151013
Arizona,75,59258.29013853574,45477.297254973375,13780.992883562361,1331589.0342231349,1034.9283847626727,3415.26522719567,4450.193611958342
Arizona,85,59090.268999562264,52140.00559335436,6950.263406207907,498281.9137577002,1394.8456113515722,10463.957080069438,11858.80269142101
Arkansas,0,1162.034240275866,1213.2081974545035,-51.173957178637636,1793163.6844626968,-2.853836357609004,67.65741510195869,64.803578744349693
Arkansas,15,1268.0412873573796,1136.9493964716492,131.09189088573044,1146825.8186173853,11.430845796947176,99.1388036452089,110.56964944215608
Arkansas,25,2331.0671239722446,1787.625139922758,543.4419840494866,1049448.9904175221,51.78355394227201,170.33940250984026,222.12295645211228
Arkansas,35,3995.098727903181,2965.1798719826807,1029.9188559205004,1108871.3935660506,92.87991933928024,267.40520940366906,360.2851287429493
Arkansas,45,7200.1918399456035,6148.242032487802,1051.9498074578014,1088000.589322382,96.68651081457288,565.0954689571438,661.7819797717167
Arkansas,55,16380.423251394091,14036.571251038922,2343.852000355171,1191973.4681724845,196.63625600230256,1177.5909133749076,1374.2271693772097
Arkansas,65,25184.64421843307,20500.742601884267,4683.901616548804,940112.794661191,498.22762153097216,2180.668396207986,2678.8960177389577
Arkansas,75,28836.762440488288,24534.536061665647,4302.226378822641,460549.1088295688,934.1514935847431,5327.235595790703,6261.387089375445
Arkansas,85,26663.736870230277,24545.43017609177,2118.3066941385073,190832.2368240931,1110.0360868751632,12862.308058945753,13972.344145820916
California,0,7445.4451534390155,8147.324841806672,-701.8796883676571,25962145.151266254,-2.7034734005153047,31.3815549305998,28.678081530084494
California,15,10909.672454845839,8776.241145384733,2133.4313094611075,15755590.664613279,13.540789138757894,55.702393722984844,69.24318286174272
California,25,23730.427449729374,16039.33726570313,7691.090184026244,18853722.872005478,40.793482731446026,85.07252055517786,125.8660032866239
California,35,33126.00781085188,21996.298429531045,11129.70938132083,16229762.09650924,68.57592437362129,135.5306276132174,204.10655198683872
California,45,56579.42811864422,45768.94039988915,10810.487718755065,14467976.852156058,74.72010654443406,316.3465138739736,391.0666204184077
California,55,120622.26101444913,100976.55416460575,19645.70684984338,14244900.620123204,137.9139621521169,708.8610644426693,846.7750265947863
California,65,180080.68642250556,143915.37119839364,36165.315224111924,10771680.22861054,335.7444192230441,1336.0531332534513,1671.7975524764954
California,75,219089.8590852057,182011.13838973796,37078.72069546775,5475976.308692676,677.1161634977901,3323.8116479943455,4000.927811492136
California,85,292362.2124903293,267644.30342394795,24717.909066381388,2494284.455852156,990.9819631192255,10730.303947330218,11721.285910449442
Colorado,0,1421.0133944720808,1433.206361400162,-12.192966928081063,3287426.358658453,-0.3708970360953369,43.5966073468192,43.225710310723855
Colorado,15,2205.0236877202906,1762.413967456966,442.6097202633247,2090711.1909650923,21.170294690918634,84.2973422189135,105.46763690983214
Colorado,25,4474.050856315173,3344.4976538891856,1129.5532024259878,2159708.6892539356,52.30118339784929,154.85873953882788,207.15992293667716
Colorado,35,5929.074648064878,4123.482530641432,1805.5921174234456,2065091.1211498973,87.43401678169262,199.67557307327766,287.1095898549703
Colorado,45,8642.11207256408,7307.570108967908,1334.541963596171,1888215.036276523,70.67743545924881,387.0094225802859,457.68685803953474
